SD Optics Wisescope Calibration V2
Version = 2.1
Objective = WT1.0x
SerialNumber = NULL
AddOn = Nikon_ICS_2p0x_ADP1x
AddOnSerialNumber = NULL
Date = 13-Jun-2023
SensorResolutionHorizontal = 2464
SensorResolutionVertical = 2056
ValidStepMin = 0
ValidStepMax = 319
HeightFit = 0
PixelPitchFit = 0
FieldCurvature = poly22
p00 = 0
p10 = 0
p01 = 0
p20 = 0
p11 = 0
p02 = 0
CalibTable = CSV
NumOfRowsExceptHeader = 320
NumOfCols = 8
step,obj_height,pixel_pitch_x,pixel_pitch_y,scale_x,scale_y,shift_x,shift_y
0, 4015.65,1.730439,1.730439,1.003157,1.003157,-3.8899,-3.2458
1, 4002.31,1.730401,1.730401,1.003135,1.003135,-3.8624,-3.2229
2, 3988.97,1.730364,1.730364,1.003114,1.003114,-3.8362,-3.2010
3, 3975.64,1.730325,1.730325,1.003092,1.003092,-3.8088,-3.1781
4, 3962.30,1.730289,1.730289,1.003070,1.003070,-3.7825,-3.1562
5, 3948.97,1.730250,1.730250,1.003048,1.003048,-3.7551,-3.1333
6, 3935.64,1.730214,1.730214,1.003027,1.003027,-3.7289,-3.1114
7, 3922.31,1.730177,1.730177,1.003005,1.003005,-3.7026,-3.0895
8, 3908.98,1.730140,1.730140,1.002984,1.002984,-3.6764,-3.0677
9, 3895.65,1.730102,1.730102,1.002962,1.002962,-3.6490,-3.0448
10, 3882.32,1.730065,1.730065,1.002941,1.002941,-3.6228,-3.0229
11, 3869.00,1.730028,1.730028,1.002919,1.002919,-3.5965,-3.0010
12, 3855.67,1.729992,1.729992,1.002898,1.002898,-3.5703,-2.9791
13, 3842.34,1.729955,1.729955,1.002877,1.002877,-3.5441,-2.9573
14, 3829.01,1.729918,1.729918,1.002855,1.002855,-3.5179,-2.9354
15, 3815.69,1.729882,1.729882,1.002834,1.002834,-3.4917,-2.9135
16, 3802.36,1.729845,1.729845,1.002813,1.002813,-3.4655,-2.8917
17, 3789.03,1.729808,1.729808,1.002792,1.002792,-3.4393,-2.8698
18, 3775.70,1.729771,1.729771,1.002770,1.002770,-3.4131,-2.8479
19, 3762.37,1.729735,1.729735,1.002749,1.002749,-3.3869,-2.8261
20, 3749.03,1.729700,1.729700,1.002729,1.002729,-3.3619,-2.8052
21, 3735.69,1.729663,1.729663,1.002708,1.002708,-3.3357,-2.7834
22, 3722.36,1.729626,1.729626,1.002686,1.002686,-3.3095,-2.7615
23, 3709.02,1.729590,1.729590,1.002665,1.002665,-3.2833,-2.7396
24, 3695.67,1.729555,1.729555,1.002645,1.002645,-3.2583,-2.7188
25, 3682.33,1.729518,1.729518,1.002623,1.002623,-3.2321,-2.6969
26, 3668.98,1.729483,1.729483,1.002603,1.002603,-3.2072,-2.6761
27, 3655.62,1.729446,1.729446,1.002582,1.002582,-3.1810,-2.6543
28, 3642.27,1.729412,1.729412,1.002562,1.002562,-3.1560,-2.6334
29, 3628.90,1.729375,1.729375,1.002540,1.002540,-3.1298,-2.6116
30, 3615.53,1.729340,1.729340,1.002520,1.002520,-3.1049,-2.5908
31, 3602.16,1.729303,1.729303,1.002499,1.002499,-3.0787,-2.5689
32, 3588.79,1.729268,1.729268,1.002479,1.002479,-3.0538,-2.5481
33, 3575.41,1.729233,1.729233,1.002458,1.002458,-3.0288,-2.5273
34, 3562.05,1.729197,1.729197,1.002437,1.002437,-3.0026,-2.5054
35, 3548.69,1.729162,1.729162,1.002417,1.002417,-2.9777,-2.4846
36, 3535.36,1.729127,1.729127,1.002397,1.002397,-2.9527,-2.4638
37, 3522.05,1.729092,1.729092,1.002376,1.002376,-2.9278,-2.4430
38, 3508.77,1.729055,1.729055,1.002355,1.002355,-2.9016,-2.4211
39, 3495.52,1.729020,1.729020,1.002335,1.002335,-2.8766,-2.4003
40, 3482.31,1.728985,1.728985,1.002315,1.002315,-2.8517,-2.3795
41, 3469.14,1.728950,1.728950,1.002294,1.002294,-2.8267,-2.3587
42, 3456.02,1.728916,1.728916,1.002274,1.002274,-2.8018,-2.3378
43, 3442.93,1.728881,1.728881,1.002254,1.002254,-2.7768,-2.3170
44, 3429.89,1.728846,1.728846,1.002234,1.002234,-2.7518,-2.2962
45, 3416.87,1.728811,1.728811,1.002213,1.002213,-2.7269,-2.2753
46, 3403.90,1.728776,1.728776,1.002193,1.002193,-2.7019,-2.2545
47, 3390.96,1.728741,1.728741,1.002173,1.002173,-2.6769,-2.2337
48, 3378.05,1.728706,1.728706,1.002153,1.002153,-2.6520,-2.2128
49, 3365.17,1.728671,1.728671,1.002132,1.002132,-2.6270,-2.1920
50, 3352.32,1.728638,1.728638,1.002113,1.002113,-2.6033,-2.1722
51, 3339.50,1.728603,1.728603,1.002093,1.002093,-2.5783,-2.1514
52, 3326.69,1.728568,1.728568,1.002072,1.002072,-2.5533,-2.1305
53, 3313.89,1.728533,1.728533,1.002052,1.002052,-2.5283,-2.1097
54, 3301.10,1.728499,1.728499,1.002033,1.002033,-2.5046,-2.0899
55, 3288.30,1.728464,1.728464,1.002013,1.002013,-2.4796,-2.0690
56, 3275.50,1.728430,1.728430,1.001992,1.001992,-2.4547,-2.0482
57, 3262.68,1.728396,1.728396,1.001973,1.001973,-2.4309,-2.0284
58, 3249.84,1.728361,1.728361,1.001953,1.001953,-2.4060,-2.0076
59, 3236.97,1.728326,1.728326,1.001933,1.001933,-2.3810,-1.9867
60, 3224.08,1.728293,1.728293,1.001913,1.001913,-2.3573,-1.9669
61, 3211.15,1.728258,1.728258,1.001893,1.001893,-2.3323,-1.9461
62, 3198.20,1.728225,1.728225,1.001874,1.001874,-2.3086,-1.9263
63, 3185.24,1.728190,1.728190,1.001854,1.001854,-2.2837,-1.9055
64, 3172.26,1.728157,1.728157,1.001834,1.001834,-2.2599,-1.8857
65, 3159.27,1.728122,1.728122,1.001814,1.001814,-2.2350,-1.8649
66, 3146.27,1.728089,1.728089,1.001795,1.001795,-2.2113,-1.8451
67, 3133.28,1.728054,1.728054,1.001775,1.001775,-2.1863,-1.8243
68, 3120.28,1.728021,1.728021,1.001755,1.001755,-2.1626,-1.8045
69, 3107.30,1.727987,1.727987,1.001736,1.001736,-2.1389,-1.7848
