SD Optics Wisescope Calibration V2
Version = 2.1
Objective = WT1.0x
SerialNumber = NULL
AddOn = Nikon_ICS_50x_ADP1x
AddOnSerialNumber = NULL
Date = 13-Jun-2023
SensorResolutionHorizontal = 2464
SensorResolutionVertical = 2056
ValidStepMin = 0
ValidStepMax = 319
HeightFit = 0
PixelPitchFit = 0
FieldCurvature = poly22
p00 = 0
p10 = 0
p01 = 0
p20 = 0
p11 = 0
p02 = 0
CalibTable = CSV
NumOfRowsExceptHeader = 320
NumOfCols = 8
step,obj_height,pixel_pitch_x,pixel_pitch_y,scale_x,scale_y,shift_x,shift_y
0,  5.63,0.069228,0.069228,1.003307,1.003307,-4.0737,-3.3991
1,  5.61,0.069226,0.069226,1.003283,1.003283,-4.0450,-3.3752
2,  5.59,0.069225,0.069225,1.003261,1.003261,-4.0175,-3.3523
3,  5.57,0.069223,0.069223,1.003238,1.003238,-3.9888,-3.3284
4,  5.55,0.069221,0.069221,1.003215,1.003215,-3.9614,-3.3055
5,  5.54,0.069220,0.069220,1.003192,1.003192,-3.9327,-3.2815
6,  5.52,0.069218,0.069218,1.003170,1.003170,-3.9053,-3.2586
7,  5.50,0.069217,0.069217,1.003148,1.003148,-3.8779,-3.2357
8,  5.48,0.069215,0.069215,1.003125,1.003125,-3.8504,-3.2129
9,  5.46,0.069214,0.069214,1.003102,1.003102,-3.8218,-3.1889
10,  5.44,0.069212,0.069212,1.003080,1.003080,-3.7943,-3.1660
11,  5.42,0.069210,0.069210,1.003058,1.003058,-3.7669,-3.1432
12,  5.40,0.069209,0.069209,1.003035,1.003035,-3.7395,-3.1203
13,  5.39,0.069207,0.069207,1.003013,1.003013,-3.7120,-3.0974
14,  5.37,0.069206,0.069206,1.002991,1.002991,-3.6846,-3.0745
15,  5.35,0.069204,0.069204,1.002968,1.002968,-3.6572,-3.0516
16,  5.33,0.069203,0.069203,1.002946,1.002946,-3.6298,-3.0287
17,  5.31,0.069201,0.069201,1.002924,1.002924,-3.6023,-3.0058
18,  5.29,0.069200,0.069200,1.002902,1.002902,-3.5749,-2.9830
19,  5.27,0.069198,0.069198,1.002879,1.002879,-3.5475,-2.9601
20,  5.25,0.069197,0.069197,1.002858,1.002858,-3.5213,-2.9382
21,  5.24,0.069195,0.069195,1.002836,1.002836,-3.4939,-2.9154
22,  5.22,0.069194,0.069194,1.002814,1.002814,-3.4665,-2.8925
23,  5.20,0.069192,0.069192,1.002791,1.002791,-3.4391,-2.8696
24,  5.18,0.069191,0.069191,1.002770,1.002770,-3.4129,-2.8478
25,  5.16,0.069189,0.069189,1.002748,1.002748,-3.3855,-2.8249
26,  5.14,0.069188,0.069188,1.002727,1.002727,-3.3593,-2.8030
27,  5.12,0.069186,0.069186,1.002704,1.002704,-3.3319,-2.7802
28,  5.11,0.069185,0.069185,1.002683,1.002683,-3.3057,-2.7583
29,  5.09,0.069183,0.069183,1.002661,1.002661,-3.2783,-2.7355
30,  5.07,0.069182,0.069182,1.002640,1.002640,-3.2521,-2.7136
31,  5.05,0.069180,0.069180,1.002617,1.002617,-3.2247,-2.6908
32,  5.03,0.069179,0.069179,1.002596,1.002596,-3.1986,-2.6689
33,  5.01,0.069177,0.069177,1.002575,1.002575,-3.1724,-2.6471
34,  4.99,0.069176,0.069176,1.002553,1.002553,-3.1450,-2.6242
35,  4.97,0.069174,0.069174,1.002532,1.002532,-3.1188,-2.6024
36,  4.96,0.069173,0.069173,1.002510,1.002510,-3.0927,-2.5806
37,  4.94,0.069171,0.069171,1.002489,1.002489,-3.0665,-2.5587
38,  4.92,0.069170,0.069170,1.002467,1.002467,-3.0391,-2.5359
39,  4.90,0.069168,0.069168,1.002446,1.002446,-3.0129,-2.5140
40,  4.88,0.069167,0.069167,1.002424,1.002424,-2.9868,-2.4922
41,  4.86,0.069165,0.069165,1.002403,1.002403,-2.9606,-2.4704
42,  4.84,0.069164,0.069164,1.002382,1.002382,-2.9345,-2.4486
43,  4.83,0.069162,0.069162,1.002361,1.002361,-2.9083,-2.4268
44,  4.81,0.069161,0.069161,1.002339,1.002339,-2.8822,-2.4049
45,  4.79,0.069159,0.069159,1.002318,1.002318,-2.8560,-2.3831
46,  4.77,0.069158,0.069158,1.002297,1.002297,-2.8299,-2.3613
47,  4.75,0.069157,0.069157,1.002276,1.002276,-2.8037,-2.3395
48,  4.73,0.069155,0.069155,1.002255,1.002255,-2.7776,-2.3177
49,  4.72,0.069154,0.069154,1.002233,1.002233,-2.7514,-2.2958
50,  4.70,0.069152,0.069152,1.002213,1.002213,-2.7265,-2.2751
51,  4.68,0.069151,0.069151,1.002192,1.002192,-2.7004,-2.2533
52,  4.66,0.069149,0.069149,1.002171,1.002171,-2.6743,-2.2314
53,  4.64,0.069148,0.069148,1.002149,1.002149,-2.6481,-2.2096
54,  4.63,0.069146,0.069146,1.002129,1.002129,-2.6232,-2.1889
